Loading files... 
  Starting human_kg_train_amie_input.tsv
  Finished human_kg_train_amie_input.tsv, still running: 0
Loaded 28400 facts in 0.21 s using -55 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b	0,107038123	0,107038123	0,389333333	146	1364	375	?b	0.0	0.0	0.0
?b  <http://www.wikidata.org/prop/direct/P26>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b	0,032102729	0,032102729	0,909090909	20	623	22	?b	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b	0,275652174	0,158183633	0,224504249	317	2004	1412	?a	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P19>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b	0,167826087	0,118332311	0,167826087	193	1631	1150	?a	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P734>  ?f  ?b  <http://www.wikidata.org/prop/direct/P734>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b	0,113636364	0,046476762	0,307539683	155	3335	504	?b	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?b  <http://www.wikidata.org/prop/direct/P22>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b	0,12170088	0,089778259	0,512345679	166	1849	324	?b	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P3373>  ?f  ?b  <http://www.wikidata.org/prop/direct/P3373>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b	0,07771261	0,135031847	0,407692308	106	785	260	?b	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P53>  ?f  ?b  <http://www.wikidata.org/prop/direct/P53>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b	0,015395894	0,053299492	0,21875	21	394	96	?b	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P25>  ?f  ?b  <http://www.wikidata.org/prop/direct/P25>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b	0,117302053	0,087863811	0,504731861	160	1821	317	?b	0.0	0.0	0.0
?f  <http://www.wikidata.org/prop/direct/P3373>  ?b  ?a  <http://www.wikidata.org/prop/direct/P3373>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b	0,170821114	0,578163772	0,578163772	233	403	403	?b	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?f  <http://www.wikidata.org/prop/direct/P27>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b	0,06873385	0,633333333	0,675126904	133	210	197	?a	0.0	0.0	0.0
?f  <http://www.wikidata.org/prop/direct/P17>  ?b  ?a  <http://www.wikidata.org/prop/direct/P27>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b	0,248578811	0,993801653	0,993801653	481	484	484	?a	0.0	0.0	0.0
?f  <http://www.wikidata.org/prop/direct/P17>  ?b  ?a  <http://www.wikidata.org/prop/direct/P937>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b	0,428423773	0,514906832	0,557123656	829	1610	1488	?a	0.0	0.0	0.0
?f  <http://www.wikidata.org/prop/direct/P17>  ?b  ?a  <http://www.wikidata.org/prop/direct/P20>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b	0,164857881	0,486280488	0,528145695	319	656	604	?a	0.0	0.0	0.0
?f  <http://www.wikidata.org/prop/direct/P17>  ?b  ?a  <http://www.wikidata.org/prop/direct/P19>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b	0,456330749	0,543050431	0,587101064	883	1626	1504	?a	0.0	0.0	0.0
?f  <http://www.wikidata.org/prop/direct/P27>  ?b  ?a  <http://www.wikidata.org/prop/direct/P3373>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b	0,064082687	0,716763006	0,775	124	173	160	?a	0.0	0.0	0.0
?e  <http://www.wikidata.org/prop/direct/P27>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b	0,063565891	0,082054703	0,773584906	123	1499	159	?a	0.0	0.0	0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?a  ?e  <http://www.wikidata.org/prop/direct/P27>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b	0,05994832	0,062601187	0,686390533	116	1853	169	?a	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?f  <http://www.wikidata.org/prop/direct/P26>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P25>  ?b	0,051713396	0,821782178	0,855670103	83	101	97	?a	0.0	0.0	0.0
?f  <http://www.wikidata.org/prop/direct/P25>  ?b  ?a  <http://www.wikidata.org/prop/direct/P3373>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P25>  ?b	0,087850467	0,952702703	0,959183673	141	148	147	?a	0.0	0.0	0.0
?e  <http://www.wikidata.org/prop/direct/P25>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P25>  ?b	0,087227414	0,115131579	0,95890411	140	1216	146	?a	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P734>  ?f  ?b  <http://www.wikidata.org/prop/direct/P734>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b	0,019261637	0,003598201	0,206896552	12	3335	58	?b	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P53>  ?f  ?b  <http://www.wikidata.org/prop/direct/P53>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b	0,012841091	0,020304569	0,156862745	8	394	51	?b	0.0	0.0	0.0	0.0	0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?a  ?e  <http://www.wikidata.org/prop/direct/P25>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b	0,109149278	0,044914135	1	68	1514	68	?b	0.0	0.0	0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?b  ?e  <http://www.wikidata.org/prop/direct/P25>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b	0,011235955	0,004623514	1	7	1514	7	?b	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P19>  ?b  ?a  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b	0,093913043	0,296703297	0,401486989	108	364	269	?a	0.0	0.0	0.0
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?f  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b	0,025217391	0,151041667	0,211678832	29	192	137	?a	0.0	0.0	0.0
?f  <http://www.wikidata.org/prop/direct/P20>  ?b  ?a  <http://www.wikidata.org/prop/direct/P22>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b	0,015652174	0,128571429	0,168224299	18	140	107	?a	0.0	0.0	0.0
